sets,artist,venue,month,day,year,tour,song_num,album,city
Mary Boone,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,21,Only God Was Above Us,London
Hannah Hunt,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,22,Modern Vampires of the City,London
Harmony Hall,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,23,Father of the Bride,London
Hope,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,24,Only God Was Above Us,London
Worship You,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,34,Modern Vampires of the City,London
Ya Hey,Vampire Weekend,"Eventim Apollo, London, England",Dec,5,2024,Only God Was Above Us,35,Modern Vampires of the City,London
Cousins,Vampire Weekend,"Eventim Apollo, London, England",Dec,4,2024,Only God Was Above Us,1,Contra,London
Holiday,Vampire Weekend,"Eventim Apollo, London, England",Dec,4,2024,Only God Was Above Us,2,Contra,London
One (Blake's Got a New Face),Vampire Weekend,"Eventim Apollo, London, England",Dec,4,2024,Only God Was Above Us,3,Vampire Weekend,London
Ice Cream Piano,Vampire Weekend,"Eventim Apollo, London, England",Dec,4,2024,Only God Was Above Us,4,Only God Was Above Us,London
Classical,Vampire Weekend,"Eventim Apollo, London, England",Dec,4,2024,Only God Was Above Us,5,Only God Was Above Us,London
Connect,Vampire Weekend,"Eventim Apollo, London, England",Dec,4,2024,Only God Was Above Us,6,Only God Was Above Us,London
White Sky,Vampire Weekend,"Eventim Apollo, London, England",Dec,4,2024,Only God Was Above Us,7,Contra,London
Step,Vampire Weekend,"Eventim Apollo, London, England",Dec,4,2024,Only God Was Above Us,8,Modern Vampires of the City,London
This Life,Vampire Weekend,"Eventim Apollo, London, England",Dec,4,2024,Only God Was Above Us,9,Father of the Bride,London
Sunflower,Vampire Weekend,"Eventim Apollo, London, England",Dec,4,2024,Only God Was Above Us,10,Father of the Bride,London
Sympathy,Vampire Weekend,"Eventim Apollo, London, England",Dec,4,2024,Only God Was Above Us,11,Father of the Bride,London
The Surfer,Vampire Weekend,"Eventim Apollo, London, England",Dec,4,2024,Only God Was Above Us,12,Only God Was Above Us,London
Diplomat's Son,Vampire Weekend,"Eventim Apollo, London, England",Dec,4,2024,Only God Was Above Us,13,Contra,London
Bambina,Vampire Weekend,"Eventim Apollo, London, England",Dec,4,2024,Only God Was Above Us,14,Father of the Bride,London
Oxford Comma,Vampire Weekend,"Eventim Apollo, London, England",Dec,4,2024,Only God Was Above Us,15,Vampire Weekend,London
Capricorn,Vampire Weekend,"Eventim Apollo, London, England",Dec,4,2024,Only God Was Above Us,16,Only God Was Above Us,London
Gen-X Cops,Vampire Weekend,"Eventim Apollo, London, England",Dec,4,2024,Only God Was Above Us,17,Only God Was Above Us,London
Diane Young,Vampire Weekend,"Eventim Apollo, London, England",Dec,4,2024,Only God Was Above Us,18,Modern Vampires of the City,London
A-Punk,Vampire Weekend,"Eventim Apollo, London, England",Dec,4,2024,Only God Was Above Us,19,Vampire Weekend,London
Prep-School Gangsters,Vampire Weekend,"Eventim Apollo, London, England",Dec,4,2024,Only God Was Above Us,20,Only God Was Above Us,London
Mary Boone,Vampire Weekend,"Eventim Apollo, London, England",Dec,4,2024,Only God Was Above Us,21,Only God Was Above Us,London
Harmony Hall,Vampire Weekend,"Eventim Apollo, London, England",Dec,4,2024,Only God Was Above Us,22,Father of the Bride,London
Hope,Vampire Weekend,"Eventim Apollo, London, England",Dec,4,2024,Only God Was Above Us,23,Only God Was Above Us,London
